basename,mags_and_gtdb,gtdb,mag_only
SRR24239847,0.770065434,0.755146834,0.221872911
SRR24239849,0.755468467,0.742045474,0.211090586
SRR24239851,0.76319051,0.750929543,0.217249409
SRR24239853,0.762119331,0.747481771,0.270907736
SRR24239855,0.747658928,0.721000742,0.293091629
SRR24239858,0.744997486,0.713415276,0.311272761
SRR24239862,0.791874753,0.773328591,0.332175398
SRR24239865,0.781228522,0.766736696,0.25912487
SRR24239878,0.749129722,0.728276737,0.23915802
SRR24315719,0.735970587,0.698901769,0.326503881
SRR24315723,0.755887813,0.724621195,0.303674977
SRR24315742,0.754261617,0.720393512,0.309842154
SRR24315757,0.745367965,0.706060617,0.359726903
SRR24315758,0.760205459,0.715533704,0.421401683
SRR24925834,0.260365503,0.250084265,0.143609284
SRR24925839,0.737944542,0.719130992,0.24529622
SRR24925841,0.682092322,0.645241615,0.313942085
SRR24925843,0.601768646,0.548418534,0.273546956
SRR24925849,0.68574766,0.654618487,0.319589912
SRR24925856,0.740745032,0.733263601,0.139384613
SRR24925863,0.719056002,0.710220813,0.207539836
SRR24925864,0.696739681,0.673347097,0.224089233
SRR24925867,0.695220195,0.677880874,0.197050145
SRR24925868,0.56279334,0.558684648,0.062073695
SRR24925870,0.334208226,0.310003346,0.146512481
SRR24925871,0.640723607,0.623502694,0.190466419
SRR25321186,0.707146345,0.665475126,0.400921865
SRR25321188,0.719755424,0.682624579,0.342097481
SRR25321198,0.75968689,0.732538547,0.330883085
SRR25321201,0.790140599,0.756729272,0.385189945
SRR25321217,0.779488092,0.751172811,0.351437798
SRR25321219,0.778881472,0.751098523,0.350933338
SRR25321221,0.729519419,0.703631954,0.328204897
SRR25321223,0.726211334,0.689809655,0.329909122
SRR25321225,0.7312086,0.703561789,0.33021841
SRR25445521,0.813491681,0.794034009,0.286977771
SRR25445527,0.785025909,0.717943638,0.441425735
SRR25445530,0.794209225,0.747539601,0.297992596
SRR25445534,0.796739915,0.783637677,0.236067265
SRR25445540,0.743986911,0.719489912,0.272968542
SRR25445542,0.797113946,0.768386592,0.387784215
SRR25445543,0.782678165,0.763889236,0.302692798
SRR25445545,0.735517932,0.710648962,0.302568648
SRR25445548,0.750439799,0.732486181,0.198909656
SRR25445549,0.776543528,0.744208502,0.347147903
SRR25445552,0.717654589,0.696597883,0.300638548
SRR25445557,0.765740477,0.737756984,0.239953595
SRR25445559,0.705932752,0.681922033,0.248750535
SRR25445561,0.757404941,0.711013496,0.355099282
SRR25445562,0.713893152,0.695687574,0.251922537
SRR25445563,0.737842995,0.709990155,0.302236735
SRR25445564,0.711059519,0.690864726,0.239604032
SRR25445575,0.733767333,0.714298472,0.270195065
SRR25445577,0.782953145,0.761002017,0.215343603
SRR25445583,0.772576294,0.746655688,0.319487754
SRR25445585,0.777796154,0.761177676,0.29465533
SRR25445588,0.735184214,0.716753451,0.290050385
SRR25445593,0.667928974,0.62074161,0.328966661
SRR25445601,0.766840299,0.737350275,0.322652499
SRR25445609,0.77320162,0.752818227,0.312732091
SRR25445611,0.752798343,0.732242635,0.267251622
SRR25445615,0.692306182,0.669895172,0.224019764
SRR25445617,0.753107763,0.730092086,0.272183608
SRR25445619,0.643496104,0.633158639,0.093100962
SRR25445620,0.748086798,0.721740305,0.292105281
SRR25445624,0.72726058,0.701666746,0.379959398
SRR25445626,0.830323263,0.73134785,0.492789249
SRR25445630,0.791847412,0.762675539,0.225447943
SRR25445631,0.702612221,0.674734196,0.272755194
SRR25445632,0.749365282,0.732644132,0.218984562
SRR25445644,0.797172442,0.779356788,0.235303679
SRR25445646,0.623801173,0.591976196,0.245687672
SRR25445652,0.745992252,0.727068845,0.239603436
SRR25445661,0.824174014,0.790003623,0.453870338
SRR25445664,0.747551475,0.729178508,0.200149471
SRR25445674,0.791261355,0.775751381,0.219178161
SRR25445682,0.751549436,0.676057564,0.443048519
SRR25445683,0.754478136,0.731780934,0.28132754
SRR25445692,0.767067322,0.74743627,0.221343434
SRR25445694,0.759888331,0.743396851,0.28502067
SRR25445696,0.842560268,0.755969534,0.610498218
SRR25445698,0.821229972,0.804418486,0.337284475
SRR25445703,0.777515528,0.742293071,0.299890285
SRR25445704,0.73769636,0.722080268,0.192912142
SRR25445707,0.751605651,0.732610543,0.214970229
SRR25445708,0.743480483,0.690904189,0.458659543
SRR25445710,0.73661123,0.720107162,0.243947824
SRR25445711,0.708157015,0.685757392,0.220303736
SRR25445712,0.749650382,0.728236507,0.276993398
SRR25445724,0.786084397,0.711438025,0.425315036
SRR25445725,0.737187824,0.710427292,0.237366837
SRR25445726,0.702534735,0.679185144,0.300217826
SRR25445727,0.736135682,0.722499028,0.205506865
SRR25445729,0.780458361,0.771784489,0.161158164
SRR25445733,0.761274221,0.74435978,0.148482261
SRR25445748,0.720138472,0.688318599,0.272892169
