metag_count,acc,organism
14,SRR13618040,pig (other)
14,SRR13618041,pig (other)
14,SRR13618042,pig (other)
14,SRR13618043,pig (other)
12,SRR13618045,pig (other)
14,SRR13618050,pig (other)
14,SRR13618051,pig (other)
14,SRR13618052,pig (other)
14,SRR13618053,pig (other)
13,SRR30884386,pig (other)
14,SRR11482317,pig (other)
14,SRR11482318,pig (other)
14,SRR11482319,pig (other)
14,SRR11482321,pig (other)
13,SRR11482322,pig (other)
13,SRR11482323,pig (other)
14,SRR11482324,pig (other)
14,SRR11482325,pig (other)
14,SRR11482326,pig (other)
14,SRR11482327,pig (other)
14,SRR11482328,pig (other)
14,SRR11482329,pig (other)
14,SRR11482330,pig (other)
14,SRR11482331,pig (other)
13,SRR11482332,pig (other)
14,SRR11482333,pig (other)
14,SRR11482334,pig (other)
14,SRR11482335,pig (other)
14,SRR11482336,pig (other)
14,SRR11482337,pig (other)
14,SRR11482338,pig (other)
14,SRR11482339,pig (other)
14,SRR11482341,pig (other)
14,SRR11482342,pig (other)
14,SRR11482343,pig (other)
14,SRR11482344,pig (other)
14,SRR11482345,pig (other)
14,SRR11482346,pig (other)
14,SRR11482347,pig (other)
14,SRR11482348,pig (other)
14,SRR11482349,pig (other)
14,SRR11482354,pig (other)
14,SRR11482365,pig (other)
14,SRR11482376,pig (other)
14,SRR11482387,pig (other)
14,SRR11482392,pig (other)
14,SRR11482393,pig (other)
14,SRR11482395,pig (other)
14,SRR11482396,pig (other)
14,SRR11482397,pig (other)
14,SRR11482398,pig (other)
14,SRR26458511,pig (other)
14,SRR26458512,pig (other)
14,SRR26458513,pig (other)
13,SRR26458514,pig (other)
12,SRR26458524,pig (other)
14,SRR26458528,pig (other)
14,SRR26458529,pig (other)
14,SRR26458530,pig (other)
14,SRR26458531,pig (other)
13,ERR2597323,pig gut metagenome
13,ERR2597324,pig gut metagenome
14,ERR2597325,pig gut metagenome
13,ERR2597326,pig gut metagenome
13,ERR2597327,pig gut metagenome
13,ERR2597328,pig gut metagenome
13,ERR2597329,pig gut metagenome
13,ERR2597330,pig gut metagenome
13,ERR2597331,pig gut metagenome
13,ERR2597332,pig gut metagenome
13,ERR2597333,pig gut metagenome
13,ERR2597334,pig gut metagenome
13,ERR2597335,pig gut metagenome
13,ERR2597336,pig gut metagenome
13,ERR2597337,pig gut metagenome
13,ERR2597338,pig gut metagenome
13,ERR2597339,pig gut metagenome
13,ERR2597340,pig gut metagenome
13,ERR2597341,pig gut metagenome
13,ERR2597342,pig gut metagenome
14,ERR2597343,pig gut metagenome
13,ERR2597344,pig gut metagenome
13,ERR2597345,pig gut metagenome
13,ERR2597346,pig gut metagenome
14,ERR2597347,pig gut metagenome
13,ERR2597348,pig gut metagenome
13,ERR2597349,pig gut metagenome
14,ERR2597350,pig gut metagenome
13,ERR2597351,pig gut metagenome
14,ERR2597352,pig gut metagenome
13,ERR2597353,pig gut metagenome
13,ERR2597354,pig gut metagenome
13,ERR2597355,pig gut metagenome
13,ERR2597356,pig gut metagenome
14,ERR2597357,pig gut metagenome
13,ERR2597358,pig gut metagenome
13,ERR2597359,pig gut metagenome
14,ERR2597360,pig gut metagenome
14,ERR2597361,pig gut metagenome
13,ERR2597362,pig gut metagenome
14,ERR2597363,pig gut metagenome
13,ERR2597364,pig gut metagenome
13,ERR2597365,pig gut metagenome
13,ERR2597366,pig gut metagenome
13,ERR2597367,pig gut metagenome
13,ERR2597368,pig gut metagenome
12,ERR2597369,pig gut metagenome
13,ERR2597370,pig gut metagenome
13,ERR2597371,pig gut metagenome
13,ERR2597372,pig gut metagenome
13,ERR2597373,pig gut metagenome
13,ERR2597374,pig gut metagenome
13,ERR2597375,pig gut metagenome
13,ERR2597376,pig gut metagenome
13,ERR2597377,pig gut metagenome
13,ERR2597378,pig gut metagenome
13,ERR2597379,pig gut metagenome
13,ERR2597380,pig gut metagenome
13,ERR2597381,pig gut metagenome
13,ERR2597382,pig gut metagenome
13,ERR2597383,pig gut metagenome
13,ERR2597384,pig gut metagenome
13,ERR2597385,pig gut metagenome
13,ERR2597386,pig gut metagenome
13,ERR2597387,pig gut metagenome
13,ERR2597388,pig gut metagenome
13,ERR2597389,pig gut metagenome
13,ERR2597390,pig gut metagenome
13,ERR2597391,pig gut metagenome
13,ERR2597392,pig gut metagenome
13,ERR2597393,pig gut metagenome
13,ERR2597394,pig gut metagenome
13,ERR2597396,pig gut metagenome
13,ERR2597397,pig gut metagenome
13,ERR2597398,pig gut metagenome
13,ERR2597399,pig gut metagenome
13,ERR2597400,pig gut metagenome
13,ERR2597401,pig gut metagenome
13,ERR2597402,pig gut metagenome
13,ERR2597403,pig gut metagenome
13,ERR2597404,pig gut metagenome
13,ERR2597405,pig gut metagenome
13,ERR2597406,pig gut metagenome
13,ERR2597407,pig gut metagenome
13,ERR2597408,pig gut metagenome
13,ERR2597409,pig gut metagenome
13,ERR2597410,pig gut metagenome
13,ERR2597411,pig gut metagenome
13,ERR2597412,pig gut metagenome
14,ERR2597413,pig gut metagenome
13,ERR2597414,pig gut metagenome
13,ERR2597415,pig gut metagenome
13,ERR2597416,pig gut metagenome
13,ERR2597417,pig gut metagenome
13,ERR2597418,pig gut metagenome
13,ERR2597419,pig gut metagenome
14,ERR2597420,pig gut metagenome
14,ERR2597421,pig gut metagenome
13,ERR2597422,pig gut metagenome
14,ERR2597423,pig gut metagenome
13,ERR2597424,pig gut metagenome
14,ERR2597425,pig gut metagenome
13,ERR2597426,pig gut metagenome
13,ERR2597427,pig gut metagenome
13,ERR2597428,pig gut metagenome
13,ERR2597429,pig gut metagenome
13,ERR2597430,pig gut metagenome
13,ERR2597431,pig gut metagenome
