basename,mags_and_gtdb,gtdb,mag_only,gtdb_reps,mags_and_gtdbreps
SRR8960794,0.821451738,0.73596912,0.424177132,0.593984104,0.817111628
SRR8960795,0.841479145,0.76184887,0.428618189,0.639704433,0.825782493
SRR8960796,0.805144104,0.745606461,0.431102379,0.610345775,0.797822635
SRR8960797,0.796024175,0.738272113,0.407270159,0.619370841,0.778389514
SRR8960798,0.849891785,0.788791032,0.449938671,0.663243271,0.815067926
SRR8960799,0.756651512,0.685576965,0.453172633,0.581751923,0.750522017
SRR8960800,0.888340197,0.846052094,0.446037927,0.656231906,0.827875418
SRR8960801,0.752168223,0.683826579,0.402445567,0.575011338,0.742194471
SRR8960802,0.789273738,0.71551964,0.426327852,0.607652662,0.780861249
SRR8960803,0.840850172,0.77476015,0.448956944,0.606688097,0.799942121
SRR8960804,0.790358552,0.729244285,0.450382201,0.618259271,0.773784781
SRR8960805,0.815721021,0.74571879,0.458536937,0.610117146,0.792247442
SRR8960806,0.859262808,0.807433472,0.513884595,0.656685734,0.822957811
SRR8960807,0.752739802,0.683936621,0.418071026,0.596303395,0.743362085
SRR8960808,0.807022954,0.721974382,0.468375024,0.575978684,0.788318094
SRR8960809,0.764651095,0.676933984,0.412978846,0.586715047,0.756500906
SRR8960810,0.813020427,0.734413048,0.420479166,0.617359027,0.79415772
SRR8960811,0.723366,0.6364783,0.370730454,0.553330683,0.723581009
SRR8960812,0.757100158,0.690808765,0.421899131,0.594492862,0.744148937
SRR8960813,0.754655898,0.692201424,0.396583178,0.569846029,0.735772574
SRR8960814,0.816560222,0.762549677,0.439892649,0.633484894,0.793632799
SRR8960815,0.786365028,0.71280978,0.490324632,0.592465188,0.762383376
SRR8960816,0.731045582,0.668793476,0.426622811,0.554557694,0.718311315
SRR8960817,0.714403597,0.660223635,0.368103421,0.58496768,0.697084769
SRR8960818,0.858734184,0.816279284,0.444455539,0.671178527,0.818220864
SRR8960819,0.852661343,0.807851383,0.407716955,0.679913185,0.822448967
SRR8960821,0.689844542,0.637134194,0.313053879,0.581250161,0.69221692
SRR8960824,0.799437368,0.704822239,0.407786779,0.576701976,0.789576089
SRR8960825,0.769792248,0.67663433,0.412428693,0.576981465,0.763303848
SRR8960827,0.802112495,0.71210668,0.473864465,0.589501927,0.776626124
SRR8960828,0.753861546,0.652723533,0.411100582,0.550908218,0.738486668
SRR8960829,0.72703933,0.654058168,0.44718292,0.550912334,0.713758411
SRR8960830,0.691795816,0.594100113,0.433172687,0.485166368,0.673975598
SRR8960831,0.774780873,0.684357456,0.469722513,0.545611063,0.727573241
SRR8960832,0.764796399,0.700965756,0.404974117,0.585960006,0.751090417
SRR8960833,0.734107172,0.642784033,0.455333571,0.544016515,0.721948554
SRR8960834,0.749000568,0.641657041,0.431539341,0.540435326,0.734796311
SRR8960835,0.86662507,0.827007071,0.433019609,0.664284367,0.832129672
SRR8960836,0.878994943,0.830222891,0.481772641,0.662507051,0.819009171
SRR8960837,0.827120272,0.756956362,0.429819016,0.612925743,0.80557619
SRR8960838,0.823111537,0.770425984,0.51363709,0.624458315,0.788527191
SRR8960839,0.745210269,0.678273864,0.431977266,0.570392337,0.739794765
SRR8960840,0.843154336,0.792178721,0.441583817,0.642939687,0.81701227
SRR8960841,0.795297338,0.74050088,0.418136504,0.628400657,0.783631665
SRR8960842,0.737439428,0.659042673,0.415119858,0.582415582,0.739178195
SRR8960843,0.863357098,0.810710931,0.468280477,0.643211893,0.838787491
SRR8960844,0.835269348,0.769860292,0.473659902,0.612257847,0.79959235
SRR8960846,0.697196747,0.643351533,0.329518751,0.581090692,0.67929504
SRR8960849,0.721928294,0.645887562,0.378174794,0.575056227,0.70703308
SRR8960850,0.814396886,0.760039945,0.371656823,0.65789322,0.806754551
SRR8960851,0.860955817,0.81409011,0.424039496,0.654242525,0.832235719
SRR8960854,0.765668356,0.678684088,0.422131841,0.586267413,0.7560593
SRR8960855,0.731048611,0.642676016,0.395804196,0.573553829,0.731496444
SRR8960856,0.888992442,0.846717504,0.460043443,0.672252186,0.852702868
SRR8960857,0.869382106,0.818057366,0.382592942,0.652469862,0.852122068
SRR8960858,0.827803346,0.761026661,0.503419641,0.631289642,0.805292663
SRR8960859,0.874584449,0.819559554,0.383777256,0.674829743,0.85831564
SRR8960860,0.880607886,0.826793679,0.394044568,0.673662928,0.858071762
SRR8960861,0.794578502,0.728102607,0.511643745,0.593881062,0.766072739
SRR8960862,0.873368979,0.805999027,0.392026165,0.660772469,0.856066702
SRR8960863,0.861802579,0.796527329,0.509326194,0.637973908,0.838150497
SRR8960864,0.794550302,0.71335974,0.432092524,0.573486084,0.77096164
SRR8960865,0.881762048,0.828124843,0.436854524,0.656267807,0.840055603
SRR8960866,0.786691799,0.721077312,0.396192122,0.616903839,0.774080651
SRR8960867,0.752985714,0.698455717,0.406738368,0.602848241,0.747377135
SRR8960868,0.869629923,0.835100205,0.458395262,0.681415336,0.834075791
SRR8960869,0.781648134,0.695323052,0.450299644,0.576147263,0.755000668
SRR8960870,0.824884539,0.775100989,0.409508929,0.63620862,0.791487202
SRR8960871,0.830582646,0.767778483,0.419142752,0.63022341,0.803804074
SRR8960872,0.772260959,0.689380907,0.422176134,0.590463858,0.761383682
SRR8960873,0.834943138,0.784760759,0.432071294,0.630867763,0.795378108
SRR8960874,0.877091967,0.839461059,0.404337305,0.680541101,0.847253842
SRR8960875,0.834541381,0.778204609,0.453849023,0.628852352,0.793340874
SRR8960876,0.802929767,0.743186903,0.388416232,0.627193701,0.784355
SRR8960877,0.773939493,0.711538909,0.423988939,0.60484678,0.74681395
SRR8960878,0.841820187,0.798009238,0.444542053,0.661644586,0.811817286
SRR8960879,0.853117811,0.796602127,0.442479867,0.645246795,0.819653645
SRR8960880,0.829179241,0.76565236,0.487376966,0.589450236,0.789127568
SRR8960881,0.818302258,0.75367074,0.452644896,0.610708863,0.796933884
SRR8960882,0.82098882,0.763605512,0.417731481,0.618140351,0.813172932
SRR8960883,0.875265651,0.835527164,0.493635214,0.655160768,0.83223282
SRR8960884,0.821854181,0.765995509,0.463999054,0.629125743,0.788077789
SRR8960885,0.853874961,0.801569278,0.46849374,0.659651005,0.825348242
SRR8960886,0.799644197,0.756621337,0.363540873,0.638423205,0.783275528
SRR8960887,0.79522629,0.717384705,0.488325268,0.590020845,0.766823817
