basename,mags_and_gtdb,gtdb,mags_and_gtdbreps,gtdb_reps,mag_only
SRR14369297,0.73983339,0.714900915,0.688643664,0.561956557,0.358140429
SRR14369305,0.813462285,0.794341557,0.756401946,0.628824816,0.358792051
SRR14369306,0.776870036,0.740885079,0.728445282,0.592960327,0.37795191
SRR14369307,0.761678409,0.737102179,0.72118183,0.598594136,0.334873624
SRR14369308,0.770917581,0.748609428,0.723846873,0.59948549,0.370944561
SRR14812339,0.827883986,0.810481493,0.763811347,0.630700108,0.308942343
SRR14812340,0.818445903,0.805606926,0.755047063,0.623483139,0.367654996
SRR14812341,0.70453637,0.687955069,0.638212977,0.528367823,0.24307288
SRR14812342,0.720783188,0.70326961,0.657702433,0.557637986,0.26788574
SRR14812343,0.761811314,0.746954591,0.707042707,0.592151646,0.235968912
SRR14812344,0.717883683,0.700925139,0.665372187,0.572396988,0.28308149
SRR14812355,0.73666428,0.711202148,0.696331593,0.593703623,0.328486114
SRR14812366,0.765083185,0.745635757,0.704767454,0.584370847,0.327031722
SRR14812367,0.721220688,0.701502097,0.679457433,0.568560011,0.306251781
SRR14812368,0.720161851,0.698045525,0.683940645,0.571672563,0.3304328
SRR14812369,0.816933911,0.81010943,0.753959369,0.635051776,0.254905685
SRR14812370,0.699157783,0.671073569,0.674358514,0.55984926,0.310032255
SRR14812371,0.73162609,0.716158923,0.688535555,0.581633262,0.287887183
SRR14812372,0.742640321,0.726226005,0.701442199,0.580965794,0.300756471
SRR14812373,0.723156396,0.699505796,0.68122839,0.570783621,0.244116946
SRR14812374,0.763558668,0.75186365,0.675130877,0.571810598,0.265994581
SRR14812375,0.777846787,0.758550947,0.738735454,0.61647127,0.367113643
SRR14812376,0.654387418,0.625071837,0.618525815,0.515752967,0.323691467
SRR14812377,0.803542186,0.790715994,0.737014345,0.622994519,0.275194294
SRR14812378,0.750200955,0.72532836,0.682772458,0.570009781,0.345932218
SRR15057919,0.756128399,0.738146878,0.692055472,0.56960439,0.365190344
SRR15057920,0.57977025,0.542050194,0.575658437,0.476551071,0.262728292
SRR15057921,0.560230043,0.528201808,0.551923927,0.452780302,0.273091203
SRR15057922,0.618683659,0.589827971,0.58599489,0.484701965,0.267149526
SRR15057923,0.501623519,0.485873197,0.413676131,0.32426201,0.140629346
SRR15057924,0.486565312,0.453936934,0.489394683,0.403506469,0.286898632
SRR15057925,0.453504465,0.422325014,0.471166533,0.397706806,0.240867811
SRR15057926,0.627962326,0.59911639,0.587333717,0.47786084,0.290072154
SRR15057927,0.730863401,0.697866481,0.633128509,0.492527679,0.327075244
SRR15057928,0.541616138,0.510689461,0.52816826,0.451947003,0.234960815
SRR15057929,0.577674621,0.528206858,0.557090394,0.441513989,0.293960417
SRR15057930,0.443917055,0.412428139,0.453073668,0.373649745,0.198573955
SRR15057931,0.60802879,0.574397717,0.605829627,0.489825556,0.287840385
SRR15057932,0.754651143,0.729754194,0.705383785,0.572836054,0.334759531
SRR16235687,0.872581466,0.854218008,0.854668773,0.651693218,0.317006082
SRR16235688,0.877442722,0.856220721,0.830171748,0.669627662,0.398106747
SRR16235689,0.892995008,0.878887238,0.856403816,0.670730151,0.387292856
SRR16235690,0.85708289,0.828602777,0.766459745,0.619562333,0.421145068
SRR16235695,0.715929373,0.684261434,0.693135197,0.554532871,0.218261858
SRR16235696,0.859621044,0.842651486,0.805348734,0.671856689,0.305547699
SRR16235697,0.830479072,0.803905966,0.755669475,0.614843325,0.334740984
SRR16235698,0.835704738,0.809442792,0.79503603,0.66517579,0.332427859
SRR16235699,0.831650793,0.813140687,0.814685914,0.679754949,0.427927373
SRR16235700,0.809108559,0.781306658,0.746009831,0.613548124,0.374666748
SRR16235701,0.77811139,0.752234758,0.74977584,0.611947843,0.355224854
SRR16235702,0.887553814,0.858117788,0.827656661,0.668059742,0.317904965
SRR17241479,0.751289191,0.704167873,0.742225798,0.617819046,0.286542319
SRR17241480,0.867495821,0.843002206,0.841456464,0.680786628,0.274131689
SRR17241481,0.771767283,0.70195145,0.770661053,0.607156259,0.276875555
SRR17241482,0.786659485,0.730659008,0.786174526,0.639434117,0.271138097
SRR17241483,0.753544983,0.702461653,0.743658425,0.616387748,0.257834614
SRR17241484,0.782657575,0.74802405,0.772202522,0.648227633,0.282162121
SRR17241485,0.76893129,0.716105403,0.7690508,0.6171776,0.27271564
SRR17241486,0.798278475,0.75234346,0.780525321,0.642480323,0.320302394
SRR17241487,0.788921418,0.743673717,0.78609133,0.641390907,0.281626572
SRR17241488,0.803731901,0.761728256,0.778032805,0.645386112,0.292394252
SRR17241489,0.772346524,0.715301575,0.777164608,0.632404227,0.253787523
SRR17241490,0.786629655,0.737175382,0.780340192,0.634773638,0.273995341
SRR17241491,0.799613507,0.745067352,0.798484543,0.654299427,0.285759721
SRR17241492,0.774123823,0.719347014,0.77455577,0.622000754,0.258869005
SRR17241493,0.799358311,0.749546086,0.787150534,0.642798147,0.347634417
SRR17241494,0.797791747,0.757858172,0.786380673,0.647715912,0.311346587
SRR17241495,0.779830195,0.727669129,0.765027489,0.617611161,0.297562065
SRR17241496,0.80735448,0.77888791,0.788610883,0.65412325,0.308282828
SRR17241497,0.761739933,0.704202813,0.757525193,0.622138755,0.287846606
SRR17241498,0.772719653,0.724380125,0.771088148,0.630595686,0.276843996
SRR17241499,0.793300751,0.755540545,0.768147748,0.628042198,0.318748121
SRR17241500,0.83422482,0.799149422,0.804228319,0.656417918,0.320991917
SRR17241501,0.812075954,0.772329911,0.791409557,0.648608447,0.308841265
SRR17241502,0.787651683,0.745988338,0.765676662,0.637476789,0.311874426
SRR17241503,0.784203958,0.714306032,0.787333699,0.623746537,0.279729565
SRR17241504,0.792640258,0.745544126,0.780919632,0.641286731,0.316051094
SRR17241505,0.774301755,0.715576142,0.772740208,0.624978148,0.289817608
SRR17241506,0.784542794,0.740155383,0.779304452,0.641121626,0.306600909
SRR17241507,0.775385141,0.736034402,0.773823439,0.64180209,0.291005756
SRR17241508,0.806836557,0.748911551,0.80343907,0.65063412,0.310934204
SRR17241509,0.759694465,0.72630014,0.730290925,0.605915574,0.313829697
SRR17241510,0.788148047,0.736285479,0.767515752,0.626359499,0.29370636
SRR17241515,0.869286753,0.85283225,0.828345128,0.711339109,0.219118768
SRR17241516,0.821748663,0.78622805,0.78770837,0.630623042,0.281154754
SRR17241518,0.812356786,0.781951821,0.768720009,0.621256763,0.177751956
SRR17241519,0.78302198,0.754140905,0.777059372,0.628365479,0.234384495
SRR17241520,0.725991006,0.700195402,0.708555438,0.5997313,0.184038313
SRR17241521,0.84492188,0.815442408,0.813086526,0.655063766,0.306002393
SRR17241525,0.843582974,0.808789425,0.816629971,0.672282631,0.249597466
SRR17241528,0.768244868,0.720987107,0.762272537,0.625115838,0.24484537
SRR17241529,0.7654332,0.701825575,0.760499389,0.611771205,0.268456935
SRR17241531,0.759454703,0.702510483,0.757274385,0.615370127,0.241151152
SRR17241532,0.833981064,0.804228552,0.807243689,0.66329003,0.292552224
SRR17241533,0.770621392,0.707356602,0.765897577,0.616219524,0.239109514
SRR17241534,0.747302948,0.687120618,0.743821649,0.594061818,0.238223762
SRR17241535,0.751978227,0.703122596,0.748667782,0.618400062,0.266310744
SRR17241536,0.834252842,0.80312624,0.817677205,0.676795114,0.30470805
SRR17241537,0.767215567,0.719033616,0.770346843,0.637340928,0.299911407
SRR17241538,0.813173705,0.757349413,0.809176029,0.649178797,0.333354771
SRR17241539,0.766494934,0.720957983,0.762469708,0.63278352,0.281319188
SRR17241540,0.797273358,0.751697792,0.789841106,0.655696199,0.307600894
SRR17241541,0.80617122,0.764007041,0.797684181,0.653310745,0.32749066
SRR17241542,0.820397778,0.790346217,0.806372948,0.671270673,0.309662618
SRR17241543,0.771687345,0.726146821,0.764852589,0.62400771,0.28259886
SRR17241544,0.817105155,0.773789218,0.800667334,0.654238587,0.276616534
SRR17241545,0.826731007,0.798080451,0.810735997,0.680930431,0.304777404
SRR17241546,0.806715583,0.773841726,0.788712582,0.657734202,0.314105602
