acc,Bariatricus_sp004560705.branchw,JAFBIX01_sp021531895.branchw,Limosilactobacillus_reuteri.branchw,Lactobacillus_amylovorus.branchw,Sodaliphilus_sp004557565.branchw,UBA2868_sp004552595.branchw,Mogibacterium_A_kristiansenii.branchw,Prevotella_sp002251295.branchw,Cryptobacteroides_sp900546925.branchw,Holdemanella_porci.branchw,Prevotella_pectinovora.branchw,Prevotella_sp000434975.branchw,Fimisoma_sp002320005.branchw,Collinsella_sp002391315.branchw
SRR7989859,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR10628383,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ERR12341943,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4335288,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11565419,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ERR688586,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR8960788,1,1,1,1,1,1,1,1,1,1,1,0,1,1
SRR8960689,1,1,1,1,1,0,1,1,0,1,1,1,1,1
SRR11125926,1,1,1,1,0,1,1,0,1,0,0,0,1,0
SRR11183557,1,1,0,1,1,1,1,1,0,1,1,0,1,0
ERR6750193,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR3844216,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR20707899,1,0,1,1,0,0,0,0,0,1,0,0,0,0
ERR5947607,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR18491252,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SRR17241591,1,1,1,1,1,1,1,1,1,0,1,1,1,0
SRR24599911,1,0,0,0,0,0,1,0,0,1,0,0,0,1
SRR13712901,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR4341703,1,1,0,0,0,0,1,0,0,0,0,0,0,1
ERR6212208,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11566401,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR1600664,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR5883786,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR14812364,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR5729240,1,1,0,1,0,1,1,1,1,0,1,1,1,0
ERR4158219,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR14570983,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR10688939,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR16329151,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SRR25936262,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR6395283,1,1,0,0,0,0,1,0,0,1,0,0,0,1
ERR11569037,1,0,0,0,1,0,0,0,0,1,0,0,0,1
ERR11564639,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR1135285,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR11125973,1,1,1,1,1,1,1,1,1,1,1,0,1,1
SRR11125463,1,1,1,1,1,1,1,1,1,1,0,0,1,1
ERR11473848,1,0,0,0,1,0,1,0,0,1,1,1,0,1
ERR11457793,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11080654,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4097273,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SRR7989944,1,0,0,0,0,0,1,0,0,1,1,0,0,1
ERR4330107,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR8263865,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11569369,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR8960382,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ERR10370063,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR5008265,1,1,0,0,1,1,1,1,1,1,1,1,1,0
ERR11472966,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR7745414,1,0,0,0,1,0,1,1,1,1,0,1,0,1
ERR5198868,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR17001017,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR4678594,1,1,0,0,0,0,1,1,0,1,1,1,1,1
SRR17549185,1,0,0,0,0,0,0,0,0,1,1,1,0,1
ERR11570101,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR6170269,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11126435,1,1,1,1,1,0,1,1,0,1,0,0,1,1
SRR8960760,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRR21938328,1,0,0,0,1,0,1,0,0,0,0,0,0,0
ERR5862868,1,1,1,1,0,1,1,1,1,0,1,1,1,0
ERR3481969,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ERR3211927,1,1,0,1,1,1,1,1,1,1,1,1,1,0
SRR30884460,1,1,1,1,1,0,1,0,1,1,1,1,1,1
SRR13378599,1,0,0,0,0,0,0,0,1,1,0,1,0,1
SRR12795792,1,1,1,1,1,0,1,0,1,0,1,1,1,1
SRR5866317,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR6910951,1,1,0,0,0,0,0,0,0,1,0,0,0,1
SRR23223856,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERR11504692,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ERR11570486,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR6170143,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR11564467,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SRR11125542,1,1,1,1,1,1,1,1,0,1,0,0,1,1
SRR11183306,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ERR9882542,1,0,0,0,0,0,1,0,0,1,0,0,0,1
ERR7625342,1,1,0,0,0,0,1,0,0,1,0,0,0,1
SRR16327194,1,1,0,0,1,0,1,0,1,1,1,0,1,1
ERR2641325,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR3261737,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ERR11570619,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SRR10692049,1,0,0,0,0,0,0,0,0,1,0,0,0,1
SRR21969487,1,1,0,0,0,0,0,0,0,1,0,0,0,1
SRR11183742,1,1,1,1,0,1,1,0,0,0,0,0,1,0
SRR8960233,1,1,1,1,1,1,1,1,1,1,1,1,1,1
