user_genome	Domain	phylum	class	order	family	genus	species
AtH2023_SRR8960474_MAG19	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp004561545
AtH2023_SRR8960474_MAG20	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002391315
AtH2023_SRR8960474_MAG21	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Eubacterium_T	Eubacterium_T saphenum_A
AtH2023_SRR8960474_MAG22	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp016293365
AtH2023_SRR8960474_MAG23	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp017622995
AtH2023_SRR8960474_MAG24	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335
AtH2023_SRR8960474_MAG25	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Porcincola	Porcincola intestinalis
AtH2023_SRR8960474_MAG26	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera elsdenii
AtH2023_SRR8960474_MAG27	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp000433355
AtH2023_SRR8960474_MAG28	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp002472405
AtH2023_SRR8960474_MAG29	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA7748	UBA7748 sp900314535
AtH2023_SRR8960477_MAG01	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp900548085
AtH2023_SRR8960477_MAG02	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp000431075
AtH2023_SRR8960477_MAG03	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_E
AtH2023_SRR8960477_MAG04	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002391315
AtH2023_SRR8960477_MAG05	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp003453215
