rank,name,diff,first_tax,second_tax
class,c__Bacteroidia,22.810392373290632,56.389778085391704,33.57938571210107
class,c__Clostridia,-16.24357889771958,27.751762771985984,43.99534166970556
class,c__Bacilli,-6.395911850637927,6.98620063156984,13.382112482207766
class,c__Kiritimatiellia,1.0609460592991278,2.3072846822684605,1.2463386229693327
class,c__Vampirovibrionia,-0.9231476511361583,0.874897261755418,1.7980449128915763
class,c__Spirochaetia,0.47583134737139465,1.722758143357702,1.2469267959863073
class,c__Gammaproteobacteria,0.3867513455706394,1.3101829822208764,0.923431636650237
class,c__Thermoplasmata,-0.2834835366383038,0.5628974347882512,0.8463809714265549
class,c__Lentisphaeria,0.2202907805776897,0.37850932214387684,0.15821854156618712
class,c__Alphaproteobacteria,-0.13975245443643317,0.198447030324004,0.33819948476043715
class,c__Methanobacteria,0.08674914009356807,0.28496344681403296,0.1982143067204649
class,c__Negativicutes,-0.08444232867596399,0.4931435739931652,0.5775859026691292
class,c__Verrucomicrobiia,0.06284640899163592,0.12166371068910325,0.05881730169746733
class,c__Desulfovibrionia,0.0486549443841207,0.09570878574209456,0.04705384135797386
class,c__Dehalobacteriia,-0.046617793896585616,0.015140372885755071,0.06175816678234069
class,c__Actinomycetes,0.03136220097763551,0.03136220097763551,0.0
class,c__Nanobdellia,-0.02176240162806291,0.0,0.02176240162806291
class,c__Coriobacteriia,-0.017875630575630283,0.1232858934982913,0.14116152407392157
class,c__Fibrobacteria,0.015681100488817754,0.015681100488817754,0.0
class,c__DTU025,0.015140372885755071,0.015140372885755071,0.0
class,c__Campylobacteria,0.01459964528269239,0.01459964528269239,0.0
class,c__Peptococcia,-0.01190729773656974,0.0686724055889605,0.08057970332553024
class,c__Saccharimonadia,0.011896007267378985,0.011896007267378985,0.0
class,c__Methanomicrobia,0.007029458839814855,0.007029458839814855,0.0
class,c__Deferribacteres,-0.00660320069227707,0.021629104122507244,0.028232304814784316
class,c__Anaerolineae,0.006488731236752173,0.006488731236752173,0.0
class,c__Synergistia,0.004325820824501449,0.004325820824501449,0.0
class,c__Fusobacteriia,0.004325820824501449,0.004325820824501449,0.0
class,c__Elusimicrobia,0.003962083252555693,0.1492408184453,0.1452787351927443
class,c__Xenobia,0.0037850932214387677,0.0037850932214387677,0.0
class,c__Desulfomonilia,0.0037850932214387677,0.0037850932214387677,0.0
class,c__Cloacimonadia,0.0027036380153134055,0.0027036380153134055,0.0
class,c__Desulfobacteria,0.0021629104122507245,0.0021629104122507245,0.0
class,c__Cyanobacteriia,0.0016221828091880432,0.0016221828091880432,0.0
class,c__Brocadiia,0.0016221828091880432,0.0016221828091880432,0.0
class,c__Proteinivoracia,0.0010814552061253623,0.0010814552061253623,0.0
class,c__Endomicrobiia,0.0010814552061253623,0.0010814552061253623,0.0
class,c__UBA1384,0.0010814552061253623,0.0010814552061253623,0.0
class,c__UBA2361,0.0010814552061253623,0.0010814552061253623,0.0
class,c__Terriglobia,0.0010814552061253623,0.0010814552061253623,0.0
class,c__Phycisphaerae,0.0010814552061253623,0.0010814552061253623,0.0
class,c__Desulfitobacteriia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__TC1,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Thermosediminibacteria,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Limnochordia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Brachyspiria,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Patescibacteriia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Microgenomatia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Chlamydiia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Aminicenantia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__UBA6911,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Planctomycetia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__SZUA-567,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Hinthialibacteria,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Bdellovibrionia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__UBA2235,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Myxococcia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Polyangia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Thermotogae,0.0005407276030626811,0.0005407276030626811,0.0
class,c__Chlorobiia,0.0005407276030626811,0.0005407276030626811,0.0
class,c__UBA1177,0.0005407276030626811,0.0005407276030626811,0.0
phylum,p__Bacillota,-22.88170803355743,35.33330449452784,58.21501252808526
phylum,p__Bacteroidota,22.810392373290632,56.389778085391704,33.57938571210107
phylum,p__Verrucomicrobiota,1.3029111376802265,2.8074577151014406,1.5045465774212141
phylum,p__Cyanobacteriota,-0.92152546832697,0.8765194445646062,1.7980449128915763
phylum,p__Spirochaetota,0.47637207497445744,1.7232988709607648,1.2469267959863073
phylum,p__Thermoplasmatota,-0.2881889207741011,0.5628974347882512,0.8510863555623521
phylum,p__Pseudomonadota,0.24699889113420637,1.5086300125448804,1.2616311214106741
phylum,p__Methanobacteriota,0.07792654483894795,0.28496344681403296,0.207036901975085
phylum,p__Thermoproteota,-0.07234528108788481,0.0,0.07234528108788481
phylum,p__Desulfobacterota_I,0.0486549443841207,0.09570878574209456,0.04705384135797386
phylum,p__Nanobdellota,-0.02176240162806291,0.0,0.02176240162806291
phylum,p__Fibrobacterota,0.015681100488817754,0.015681100488817754,0.0
phylum,p__Patescibacteriota,-0.014761560152129281,0.01405891767962971,0.028820477831758992
