rank,name,diff,first_tax,second_tax
class,c__Gammaproteobacteria,10.527437061402194,15.79740281785775,5.269965756455555
class,c__Bacilli,-10.393845199309604,84.01996386740063,94.41380906671024
class,c__Bacteroidia,0.04137667628585979,0.04137667628585979,0.0
class,c__Campylobacteria,-0.04051896404502924,0.03470790794674686,0.07522687199177609
class,c__Clostridia,0.02033436992533121,0.03395009336275675,0.013615723437425538
class,c__Actinomycetes,-0.012648844706270805,0.05304702087930742,0.06569586558557823
class,c__Negativicutes,-0.005493390897813401,0.015610980430196184,0.021104371328009585
class,c__Coriobacteriia,0.0013640662511821906,0.0013640662511821906,0.0
class,c__Phycisphaerae,0.0006062516671920847,0.0006062516671920847,0.0
class,c__Thermoanaerobaculia,0.0004546887503940636,0.0004546887503940636,0.0
class,c__Alphaproteobacteria,0.00030312583359604235,0.00030312583359604235,0.0
class,c__Terriglobia,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Cyanobacteriia,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Fusobacteriia,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Koll11,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Anaerolineae,0.00015156291679802118,0.00015156291679802118,0.0
class,c__UBA2968,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Nanobdellia,0.00015156291679802118,0.00015156291679802118,0.0
class,c__Thermoprotei_A,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Pseudomonadota,10.52774018723579,15.797705943691346,5.269965756455555
phylum,p__Bacillota,-10.40181055703977,84.06952494119359,94.47133549823336
phylum,p__Bacteroidota,0.04137667628585979,0.04137667628585979,0.0
phylum,p__Campylobacterota,-0.04051896404502924,0.03470790794674686,0.07522687199177609
phylum,p__Actinomycetota,-0.013327136970702445,0.05441108713048961,0.06773822410119205
phylum,p__Acidobacteriota,0.0006062516671920847,0.0006062516671920847,0.0
phylum,p__Planctomycetota,0.0006062516671920847,0.0006062516671920847,0.0
phylum,p__Cyanobacteriota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Fusobacteriota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Omnitrophota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Chloroflexota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Latescibacterota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Nanobdellota,0.00015156291679802118,0.00015156291679802118,0.0
phylum,p__Thermoproteota,0.00015156291679802118,0.00015156291679802118,0.0
superkingdom,d__Bacteria,-0.00030312583360059264,99.9996968741664,100.0
superkingdom,d__Archaea,0.00030312583359604235,0.00030312583359604235,0.0
class,c__Gammaproteobacteria,5.96731081395275,6.47879003510939,0.5114792211566405
class,c__Campylobacteria,-5.692293327942946,7.387964349088924,13.08025767703187
class,c__Bacteroidia,0.13761488787599405,0.34225501187095675,0.20464012399496273
class,c__Bacilli,0.12128860868145797,84.2729402603331,84.15165165165165
class,c__Clostridia,0.03674093279425021,1.4595346942976892,1.422793761503439
class,c__Spirochaetia,0.011188460669204208,0.011188460669204208,0.0
class,c__Fusobacteriia,0.007720037861750904,0.007720037861750904,0.0
class,c__Actinomycetes,-0.004050091075923209,0.030096959200159326,0.03414705027608254
class,c__Alphaproteobacteria,0.002349576740532884,0.002349576740532884,0.0
class,c__Synergistia,0.002237692133840842,0.002237692133840842,0.0
class,c__Vampirovibrionia,0.0013426152803045052,0.0013426152803045052,0.0
class,c__Negativicutes,0.0007831922468442947,0.0007831922468442947,0.0
class,c__Coriobacteriia,0.00044753842676816837,0.00044753842676816837,0.0
class,c__UBA2968,0.00044753842676816837,0.00044753842676816837,0.0
class,c__Cyanobacteriia,0.0003356538200761263,0.0003356538200761263,0.0
class,c__Verrucomicrobiia,0.0003356538200761263,0.0003356538200761263,0.0
class,c__Anaerolineae,0.0003356538200761263,0.0003356538200761263,0.0
class,c__Phycisphaerae,0.0003356538200761263,0.0003356538200761263,0.0
class,c__Thermoleophilia,0.00011188460669204209,0.00011188460669204209,0.0
class,c__Patescibacteriia,0.00011188460669204209,0.00011188460669204209,0.0
class,c__Polarisedimenticolia,0.00011188460669204209,0.00011188460669204209,0.0
class,c__Chloroflexia,0.00011188460669204209,0.00011188460669204209,0.0
class,c__Bacteriovoracia,0.00011188460669204209,0.00011188460669204209,0.0
phylum,p__Pseudomonadota,5.968207324724087,6.481139611849923,0.5129322871258355
phylum,p__Campylobacterota,-5.692293327942946,7.387964349088924,13.08025767703187
phylum,p__Bacteroidota,0.13761488787599405,0.34225501187095675,0.20464012399496273
phylum,p__Spirochaetota,0.011188460669204208,0.011188460669204208,0.0
phylum,p__Fusobacteriota,0.007720037861750904,0.007720037861750904,0.0
phylum,p__Actinomycetota,-0.004943734011658003,0.030656382233619533,0.035600116245277535
phylum,p__Bacillota,-0.002961944181167908,85.73325814687763,85.7362200910588
phylum,p__Synergistota,0.002237692133840842,0.002237692133840842,0.0
phylum,p__Cyanobacteriota,0.0016782691003806316,0.0016782691003806316,0.0
phylum,p__Chloroflexota,0.00044753842676816837,0.00044753842676816837,0.0
phylum,p__Latescibacterota,0.00044753842676816837,0.00044753842676816837,0.0
phylum,p__Verrucomicrobiota,0.0003356538200761263,0.0003356538200761263,0.0
phylum,p__Planctomycetota,0.0003356538200761263,0.0003356538200761263,0.0
phylum,p__Patescibacteriota,0.00011188460669204209,0.00011188460669204209,0.0
phylum,p__Acidobacteriota,0.00011188460669204209,0.00011188460669204209,0.0
